text,Label,Language
chao abo do it again,code-mix,English-Kokborok
where is mohan  ,Monolingual,English
ang khwlaimanya  abo its very difficult,code-mix,English-Kokborok
ang abo khwlaiya,Monolingual,Kokborok
bo mungsa manya  foolish,code-mix,English-Kokborok
after the meeting  nwng boro thangnai,code-mix,English-Kokborok
confirm khwlaide meeting wngnaida wngya,code-mix,English-Kokborok
i call him many times sir bo phone thisaya.,code-mix,English-Kokborok
excuse me please ,Monolingual,English
tinile ang chicken bai pork songwi chasinai.,code-mix,English-Kokborok
excuse me nini bumung tamo,code-mix,English-Kokborok
my name is kanika nung tamo khwlainai,code-mix,English-Kokborok
stupid  mungsa samungo chukya,code-mix,English-Kokborok
bo belai satok kha i hate him,code-mix,English-Kokborok
  where are you going,Monolingual,English
ata  come to the fellowship,code-mix,English-Kokborok
 how is your health,Monolingual,English
nung limit cross khaiwoi tongo,code-mix,English-Kokborok
go away aro ta phaidi,code-mix,English-Kokborok
how are you  ang kaham no,code-mix,English-Kokborok
tini churcho thangnaida,code-mix,English-Kokborok
tini marketo thangwoi vegetable pwaigana,code-mix,English-Kokborok
do kisa ani bagwi potato chip tubudi,code-mix,English-Kokborok
ang twi kangwi tongkha  kisa pai tubugradi,Monolingual,Kokborok
ano car loan rwida mano kisa kisa khe sui rwnai.,Monolingual,Kokborok
nwng tini o thangnaida,Monolingual,Kokborok
office o belaikha pressure rwjago,code-mix,English-Kokborok
salbwswk cl nanai nwng,code-mix,English-Kokborok
office ni work paiyakhu,code-mix,English-Kokborok
office thangna nangliya,code-mix,English-Kokborok
doctor visit not feeling well,Monolingual,English
office ne time wngkhada,code-mix,English-Kokborok
ano ten rupees rwgradi,code-mix,English-Kokborok
ten rupeesni chocolate tubudi tei five rupeesni chip,code-mix,English-Kokborok
shop o thangradi  oil paiwi tubudi,code-mix,English-Kokborok
ani rang kwrwi  treat rwimanya,code-mix,English-Kokborok
you are jealous ang saimano.,code-mix,English-Kokborok
ani naithokti  you are so beautiful,code-mix,English-Kokborok
chopa  chopa  wake up,code-mix,English-Kokborok
belai naithoksukha  really,code-mix,English-Kokborok
chariwi mankha well done,code-mix,English-Kokborok
tamo khwlailai tong are you all busy,code-mix,English-Kokborok
bo manwi naipaikha go home,code-mix,English-Kokborok
three idiots film da naikha,code-mix,English-Kokborok
bo film nwng belaikha naithokjakha,code-mix,English-Kokborok
ghost film   o monthni  twenty seven o release wngnai.,code-mix,English-Kokborok
bo film nainaikha  confusion wngwi tongkha,code-mix,English-Kokborok
amo yakardi  very bad habit,code-mix,English-Kokborok
ang phai tongo  wait for me,code-mix,English-Kokborok
